V1,V2,V4,filter_$,VAR00002,hour
E29559,1000019,10/17/2014,1,0,7
E76021,1000019,10/17/2014,1,0,7
B66928,1000019,10/17/2014,1,0,7
E71768,1000019,10/17/2014,1,0,7
A78345,1000019,10/17/2014,1,0,7
B53610,1000019,10/17/2014,1,0,7
A76681,1000019,10/17/2014,1,0,7
B68461,1000019,10/17/2014,1,0,7
A71036,1000019,10/17/2014,1,0,7
B34041,1000019,10/17/2014,1,0,7
E55340,1000019,10/17/2014,1,0,7
E77174,1000019,10/17/2014,1,0,7
C70723,1000019,10/17/2014,1,0,7
C45886,1000019,10/17/2014,1,0,7
A59932,1000019,10/17/2014,1,0,7
B61554,1000019,10/17/2014,1,0,7
C72238,1000019,10/17/2014,1,0,7
E62243,1000019,10/17/2014,1,0,7
E49365,1000019,10/17/2014,1,0,7
D75566,1000019,10/17/2014,1,0,7
A74063,1000019,10/17/2014,1,0,7
E72344,1000019,10/17/2014,1,0,7
A65358,1000019,10/17/2014,1,0,7
A70430,1000019,10/17/2014,1,0,7
A47328,1000019,10/17/2014,1,0,7
E70104,1000019,10/17/2014,1,0,7
C58093,1000019,10/17/2014,1,0,7
D78099,1000019,10/17/2014,1,0,7
A50447,1000019,10/17/2014,1,0,7
E71842,1000019,10/17/2014,1,0,7
C62391,1000019,10/17/2014,1,0,7
E36473,1000019,10/17/2014,1,0,7
C44434,1000019,10/17/2014,1,0,7
B77093,1000019,10/17/2014,1,0,7
B48195,1000019,10/17/2014,1,0,7
E33582,1000019,10/17/2014,1,0,7
E68690,1000019,10/17/2014,1,0,7
A75880,1000019,10/17/2014,1,0,7
B60910,1000019,10/17/2014,1,0,7
A46516,1000019,10/17/2014,1,0,7
C76615,1000019,10/17/2014,1,0,7
A55687,1000019,10/17/2014,1,0,7
A67475,1000019,10/17/2014,1,0,7
B70946,1000019,10/17/2014,1,0,7
E61061,1000019,10/17/2014,1,0,7
D69722,1000019,10/17/2014,1,0,7
B40709,1000019,10/17/2014,1,0,7
D61953,1000019,10/17/2014,1,0,7
D77824,1000019,10/17/2014,1,0,7
E26943,1000019,10/17/2014,1,0,7
E27243,1000019,10/17/2014,1,0,7
D50829,1000019,10/17/2014,1,0,7
A44989,1000019,10/17/2014,1,0,7
C75447,1000019,10/17/2014,1,0,7
A40443,1000019,10/17/2014,1,0,7
B40709,1000019,10/17/2014,1,0,7
A67692,1000019,10/17/2014,1,0,7
C57599,1000019,10/17/2014,1,0,7
C75467,1000019,10/17/2014,1,0,7
E72200,1000019,10/17/2014,1,0,7
B36606,1000019,10/17/2014,1,0,7
B20985,1000019,10/17/2014,1,0,7
B78528,1000019,10/17/2014,1,0,7
A37501,1000019,10/17/2014,1,0,7
B64395,1000019,10/17/2014,1,0,7
E33469,1000019,10/17/2014,1,0,7
E33469,1000019,10/17/2014,1,0,7
B37025,1000019,10/17/2014,1,0,7
B47863,1000019,10/17/2014,1,0,7
A66101,1000019,10/17/2014,1,0,7
E50811,1000019,10/17/2014,1,0,7
B30062,1000019,10/17/2014,1,0,7
C79723,1000019,10/17/2014,1,0,7
A38554,1000019,10/17/2014,1,0,7
D67414,1000019,10/17/2014,1,0,7
D29158,1000019,10/17/2014,1,0,7
B32243,1000019,10/17/2014,1,0,7
C77082,1000019,10/17/2014,1,0,7
E69358,1000019,10/17/2014,1,0,7
D72414,1000019,10/17/2014,1,0,7
D76445,1000019,10/17/2014,1,0,7
E33983,1000019,10/17/2014,1,0,7
A39139,1000019,10/17/2014,1,0,7
E29954,1000019,10/17/2014,1,0,7
E54210,1000019,10/17/2014,1,0,7
D48359,1000019,10/17/2014,1,0,7
D74311,1000019,10/17/2014,1,0,7
C75295,1000019,10/17/2014,1,0,7
E59664,1000019,10/17/2014,1,0,7
C50316,1000019,10/17/2014,1,0,7
D64888,1000019,10/17/2014,1,0,7
