V1,V2,V4,filter_$,VAR00002,hour
B77572,1000233,10/17/2014,1,3,6
C74300,1000233,10/17/2014,1,3,6
D78951,1000233,10/17/2014,1,3,6
E65670,1000233,10/17/2014,1,3,6
B76826,1000233,10/17/2014,1,3,6
B58960,1000233,10/17/2014,1,3,6
C58146,1000233,10/17/2014,1,3,6
A61546,1000233,10/17/2014,1,3,6
D77695,1000233,10/17/2014,1,3,6
B78160,1000233,10/17/2014,1,3,6
A71471,1000233,10/17/2014,1,3,6
B68455,1000233,10/17/2014,1,3,6
A61546,1000233,10/17/2014,1,3,6
D39917,1000233,10/17/2014,1,3,6
E31572,1000233,10/17/2014,1,3,6
E64764,1000233,10/17/2014,1,3,6
E67478,1000233,10/17/2014,1,3,6
D21657,1000233,10/17/2014,1,3,6
D21713,1000233,10/17/2014,1,3,6
E28091,1000233,10/17/2014,1,3,6
E53536,1000233,10/17/2014,1,3,6
D74799,1000233,10/17/2014,1,3,6
B72863,1000233,10/17/2014,1,3,6
E64764,1000233,10/17/2014,1,3,6
C71774,1000233,10/17/2014,1,3,6
B78374,1000233,10/17/2014,1,3,6
C71774,1000233,10/17/2014,1,3,6
A47431,1000233,10/17/2014,1,3,6
A54625,1000233,10/17/2014,1,3,6
A61103,1000233,10/17/2014,1,3,6
A54625,1000233,10/17/2014,1,3,6
C69611,1000233,10/17/2014,1,3,6
E50143,1000233,10/17/2014,1,3,6
A54625,1000233,10/17/2014,1,3,6
C56809,1000233,10/17/2014,1,3,6
A78584,1000233,10/17/2014,1,3,6
A47431,1000233,10/17/2014,1,3,6
C69611,1000233,10/17/2014,1,3,6
C70349,1000233,10/17/2014,1,3,6
D72944,1000233,10/17/2014,1,3,6
A70809,1000233,10/17/2014,1,3,6
C74954,1000233,10/17/2014,1,3,6
C74954,1000233,10/17/2014,1,3,6
A62468,1000233,10/17/2014,1,3,6
C70349,1000233,10/17/2014,1,3,6
B22647,1000233,10/17/2014,1,3,6
C48938,1000233,10/17/2014,1,3,6
C77379,1000233,10/17/2014,1,3,6
D68909,1000233,10/17/2014,1,3,6
D72944,1000233,10/17/2014,1,3,6
C55818,1000233,10/17/2014,1,3,6
D60907,1000233,10/17/2014,1,3,6
B45009,1000233,10/17/2014,1,3,6
D27833,1000232,10/17/2014,1,3,6
B51047,1000233,10/17/2014,1,3,6
B66291,1000233,10/17/2014,1,3,6
E77786,1000233,10/17/2014,1,3,6
D45181,1000233,10/17/2014,1,3,6
B39180,1000233,10/17/2014,1,3,6
E79645,1000233,10/17/2014,1,3,6
D78865,1000233,10/17/2014,1,3,6
A52122,1000233,10/17/2014,1,3,6
D66750,1000233,10/17/2014,1,3,6
B60211,1000233,10/17/2014,1,3,6
B39180,1000233,10/17/2014,1,3,6
D70413,1000233,10/17/2014,1,3,6
D71735,1000233,10/17/2014,1,3,6
B35271,1000233,10/17/2014,1,3,6
D77967,1000233,10/17/2014,1,3,6
D71888,1000233,10/17/2014,1,3,6
A48598,1000233,10/17/2014,1,3,6
D37727,1000233,10/17/2014,1,3,6
D74812,1000233,10/17/2014,1,3,6
C75644,1000233,10/17/2014,1,3,6
A19936,1000233,10/17/2014,1,3,6
B58065,1000233,10/17/2014,1,3,6
B54694,1000233,10/17/2014,1,3,6
C75644,1000233,10/17/2014,1,3,6
A57817,1000233,10/17/2014,1,3,6
B49144,1000233,10/17/2014,1,3,6
E43029,1000233,10/17/2014,1,3,6
C79162,1000233,10/17/2014,1,3,6
A53293,1000233,10/17/2014,1,3,6
E63432,1000233,10/17/2014,1,3,6
C79731,1000233,10/17/2014,1,3,6
E79352,1000233,10/17/2014,1,3,6
B49144,1000233,10/17/2014,1,3,6
C51304,1000233,10/17/2014,1,3,6
E76814,1000233,10/17/2014,1,3,6
A60463,1000233,10/17/2014,1,3,6
B51150,1000233,10/17/2014,1,3,6
C32618,1000233,10/17/2014,1,3,6
E76814,1000233,10/17/2014,1,3,6
